Question,Answer
What is the capital of France?,Paris
Who wrote the play "Hamlet"?,William Shakespeare
What is the chemical symbol for gold?,Au
How many planets are there in the solar system?,8
Who painted the Mona Lisa?,Leonardo da Vinci
What is the tallest mountain in the world?,Mount Everest
What is the currency of Japan?,Japanese Yen
Who is the current President of the United States?,Joe Biden
What is the largest continent?,Asia
Who invented the telephone?,Alexander Graham Bell
What is the square root of 64?,8
Who is the author of the Harry Potter series?,J.K. Rowling
What is the national animal of Australia?,Kangaroo
What is the largest ocean in the world?,Pacific Ocean
Who discovered the theory of relativity?,Albert Einstein
What is the capital of China?,Beijing
What is the chemical formula for water?,H2O
Who painted the Sistine Chapel ceiling?,Michelangelo
What is the longest river in the world?,Nile River
Who is the protagonist in "Pride and Prejudice"?,Elizabeth Bennet
What is the national flower of India?,Lotus
What is the capital of Canada?,Ottawa
Who is the founder of Microsoft?,Bill Gates
What is the chemical symbol for iron?,Fe
Who wrote the novel "1984"?,George Orwell
What is the largest animal on Earth?,Blue whale
Who is the Greek god of thunder?,Zeus
What is the official language of Brazil?,Portuguese
Who is the artist of "Starry Night"?,Vincent van Gogh
What is the smallest country in the world?,Vatican City


